SourceSubnet,Out_perc,In_perc
183,2.32371e-06,1.56887e-05
38,4.45414e-06,1.33062e-05
97,2.84658e-06,1.39933e-05
230,1.98554e-06,1.39732e-05
26,1.02143e-06,1.45725e-05
140,2.35309e-07,1.52894e-05
157,1.34703e-06,1.35646e-05
39,1.6926e-06,1.2932e-05
0,1.31994e-06,1.32372e-05
216,1.66995e-06,1.27025e-05
21,1.44041e-06,1.26215e-05
37,1.3544e-06,1.26321e-05
45,6.4903e-07,1.31318e-05
93,6.24582e-07,1.31151e-05
223,6.75745e-07,1.30515e-05
12,8.23012e-07,1.28686e-05
1,2.50154e-07,1.34138e-05
193,9.3018e-07,1.2724e-05
34,9.91062e-07,1.26557e-05
121,4.79909e-07,1.29988e-05
59,1.03704e-06,1.24401e-05
3,6.90423e-07,1.26721e-05
11,4.20302e-07,1.29295e-05
212,5.74931e-07,1.26865e-05
245,7.68553e-07,1.24763e-05
217,6.5078e-07,1.25367e-05
249,7.1272e-07,1.23825e-05
189,7.98276e-07,1.22898e-05
114,4.79968e-07,1.25895e-05
187,6.43649e-07,1.24093e-05
135,4.81878e-07,1.25426e-05
116,4.93045e-07,1.25248e-05
66,5.32831e-07,1.24485e-05
173,5.0767e-07,1.24638e-05
233,5.07859e-07,1.24597e-05
113,4.90646e-07,1.24536e-05
40,4.82293e-07,1.24465e-05
68,4.69818e-07,1.24236e-05
42,4.5482e-07,1.24345e-05
182,2.92687e-07,1.24858e-05
62,1.08484e-07,1.26576e-05
227,5.21861e-07,1.2215e-05
243,4.99523e-07,1.22368e-05
87,1.61985e-07,1.25543e-05
8,1.15489e-07,1.25758e-05
67,1.31418e-07,1.25532e-05
27,1.10398e-07,1.25559e-05
71,1.13351e-07,1.25448e-05
17,1.20988e-07,1.25033e-05
78,1.11009e-07,1.25112e-05
18,1.17617e-07,1.24592e-05
24,1.18968e-07,1.24372e-05
76,1.17793e-07,1.24269e-05
69,1.2653e-07,1.24081e-05
20,1.31284e-07,1.23989e-05
25,1.06015e-07,1.24064e-05
95,1.29712e-07,1.23788e-05
31,1.13574e-07,1.23941e-05
32,1.17849e-07,1.23895e-05
15,1.21627e-07,1.23818e-05
64,1.15964e-07,1.23773e-05
158,1.08921e-07,1.23807e-05
185,1.41196e-07,1.23479e-05
188,2.82022e-07,1.22052e-05
186,1.2333e-07,1.23583e-05
41,1.17062e-07,1.2349e-05
231,1.15707e-07,1.23265e-05
163,1.29501e-07,1.23057e-05
147,1.18869e-07,1.23152e-05
30,1.10899e-07,1.23167e-05
152,1.2822e-07,1.22979e-05
36,1.07646e-07,1.23169e-05
61,1.24082e-07,1.22974e-05
205,1.13634e-07,1.23028e-05
201,1.2985e-07,1.22862e-05
253,1.11658e-07,1.22846e-05
244,1.14753e-07,1.2277e-05
136,1.22864e-07,1.22618e-05
240,1.19927e-07,1.22519e-05
252,1.20302e-07,1.22335e-05
148,1.32913e-07,1.22157e-05
194,1.23786e-07,1.22142e-05
219,1.05605e-07,1.22291e-05
237,1.14365e-07,1.21907e-05
162,1.17114e-07,1.21869e-05
254,1.11117e-07,1.21885e-05
247,1.16091e-07,1.21824e-05
211,1.18801e-07,1.21795e-05
137,1.12036e-07,1.21769e-05
218,1.22177e-07,1.21648e-05
251,1.09788e-07,1.21557e-05
238,1.15406e-07,1.21273e-05
255,1.1665e-07,1.19874e-05
