Rank,Week,SourceSubnet,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts,Difference,Color
134,Feb 2020,96,32,600191136,247137592,847328728,3,27,4,32,353053544,2
135,Feb 2020,248,283,15793261,749205278,764998539,2,71,276,2,733412017,1
136,Feb 2020,35,868,26376551,691453556,717830107,23,39,860,4,665077005,1
137,Feb 2020,5,286,20717181,668168692,688885873,6,116,278,13,647451511,1
138,Feb 2020,242,213,151054038,496185031,647239069,6,36,211,11,345130993,1
139,Feb 2020,226,298,17845189,522817475,540662664,3,110,276,2,504972286,1
140,Feb 2020,53,17,421473307,80664996,502138303,1,8,17,15,340808311,2
141,Feb 2020,172,47,13663272,415187453,428850725,1,9,47,2,401524181,1
142,Feb 2020,177,110,168080026,208113872,376193898,2,23,109,4,40033846,1
143,Feb 2020,3,507,122193472,239254357,361447829,4,15,490,4,117060885,1
144,Feb 2020,23,90,9124566,350698035,359822601,1,9,90,1,341573469,1
145,Feb 2020,22,175,7604340,330854287,338458627,1,56,164,2,323249947,1
146,Feb 2020,222,7,5725272,317134626,322859898,1,6,6,2,311409354,1
147,Feb 2020,126,11,1052077,231336834,232388911,3,6,11,2,230284757,1
148,Feb 2020,21,116,5590013,172582496,178172509,10,55,116,2,166992483,1
149,Feb 2020,192,106,6474579,154250079,160724658,3,19,106,4,147775500,1
150,Feb 2020,102,81,72956353,38416354,111372707,3,17,71,12,34539999,2
151,Feb 2020,10,11,346131,61078795,61424926,2,4,11,3,60732664,1
152,Feb 2020,50,19,1098468,55335387,56433855,2,8,19,2,54236919,1
153,Feb 2020,151,4,764834,23210638,23975472,1,4,4,2,22445804,1
154,Feb 2020,47,7,337496,21991850,22329346,1,4,7,2,21654354,1
155,Feb 2020,135,66,505874,21116405,21622279,2,7,57,3,20610531,1
156,Feb 2020,13,14,1494071,17965698,19459769,2,8,14,2,16471627,1
157,Feb 2020,86,5,8108875,9083931,17192806,2,2,5,2,975056,1
158,Feb 2020,114,11,1164176,14754552,15918728,1,6,11,3,13590376,1
159,Feb 2020,109,8,874402,14344654,15219056,2,2,4,4,13470252,1
160,Feb 2020,43,1,6125525,63857,6189382,1,1,1,1,6061668,2
161,Feb 2020,40,22,141725,5947196,6088921,3,4,22,1,5805471,1
162,Feb 2020,88,9,242309,5594379,5836688,1,1,9,1,5352070,1
163,Feb 2020,26,19,54467,3900635,3955102,2,3,19,1,3846168,1
164,Feb 2020,19,13,109563,2998850,3108413,2,2,13,2,2889287,1
165,Feb 2020,25,6,528445,1722546,2250991,1,6,6,2,1194101,1
166,Feb 2020,72,6,518432,852685,1371117,1,1,6,1,334253,1
167,Feb 2020,163,3,53717,800725,854442,1,1,3,1,747008,1
168,Feb 2020,111,1,444400,394400,838800,1,1,1,1,50000,2
169,Feb 2020,199,6,214243,510777,725020,1,1,6,1,296534,1
170,Feb 2020,185,1,1260,165060,166320,1,1,1,1,163800,1
171,Feb 2020,68,1,1,1,1,1,1,1,1
172,Feb 2020,220,1,1,1,1,1,1,1,1
173,Feb 2020,34,1,1,1,1,1,1,1,1
174,Feb 2020,202,1,1,1,1,1,1,1,1
175,Feb 2020,139,1,1,1,1,1,1,1,1
176,Feb 2020,38,1,1,1,1,1,1,1,1
177,Feb 2020,97,1,1,1,1,1,1,1,1
178,Feb 2020,41,1,1,1,1,1,1,1,1
179,Feb 2020,33,1,1,1,1,1,1,1,1
180,Feb 2020,37,1,1,1,1,1,1,1,1
181,Feb 2020,230,1,1,1,1,1,1,1,1
182,Feb 2020,12,1,1,1,1,1,1,1,1
183,Feb 2020,18,1,1,1,1,1,1,1,1
184,Feb 2020,193,1,1,1,1,1,1,1,1
185,Feb 2020,39,1,1,1,1,1,1,1,1
186,Feb 2020,249,1,1,1,1,1,1,1,1
187,Feb 2020,223,1,1,1,1,1,1,1,1
188,Feb 2020,60,1,1,1,1,1,1,1,1
189,Feb 2020,189,1,1,1,1,1,1,1,1
190,Feb 2020,93,1,1,1,1,1,1,1,1
191,Feb 2020,108,1,1,1,1,1,1,1,1
192,Feb 2020,17,1,1,1,1,1,1,1,1
193,Feb 2020,15,1,1,1,1,1,1,1,1
194,Feb 2020,245,1,1,1,1,1,1,1,1
195,Feb 2020,8,1,1,1,1,1,1,1,1
196,Feb 2020,66,1,1,1,1,1,1,1,1
197,Feb 2020,243,1,1,1,1,1,1,1,1
198,Feb 2020,1,1,1,1,1,1,1,1,1
199,Feb 2020,24,1,1,1,1,1,1,1,1
200,Feb 2020,232,1,1,1,1,1,1,1,1
201,Feb 2020,227,1,1,1,1,1,1,1,1
202,Feb 2020,116,1,1,1,1,1,1,1,1
203,Feb 2020,105,1,1,1,1,1,1,1,1
204,Feb 2020,121,1,1,1,1,1,1,1,1
205,Feb 2020,233,1,1,1,1,1,1,1,1
206,Feb 2020,187,1,1,1,1,1,1,1,1
207,Feb 2020,42,1,1,1,1,1,1,1,1
208,Feb 2020,113,1,1,1,1,1,1,1,1
209,Feb 2020,31,1,1,1,1,1,1,1,1
210,Feb 2020,217,1,1,1,1,1,1,1,1
211,Feb 2020,87,1,1,1,1,1,1,1,1
212,Feb 2020,20,1,1,1,1,1,1,1,1
213,Feb 2020,219,1,1,1,1,1,1,1,1
214,Feb 2020,218,1,1,1,1,1,1,1,1
215,Feb 2020,211,1,1,1,1,1,1,1,1
216,Feb 2020,188,1,1,1,1,1,1,1,1
217,Feb 2020,107,1,1,1,1,1,1,1,1
218,Feb 2020,254,1,1,1,1,1,1,1,1
219,Feb 2020,182,1,1,1,1,1,1,1,1
220,Feb 2020,216,1,1,1,1,1,1,1,1
221,Feb 2020,136,1,1,1,1,1,1,1,1
222,Feb 2020,194,1,1,1,1,1,1,1,1
223,Feb 2020,71,1,1,1,1,1,1,1,1
224,Feb 2020,252,1,1,1,1,1,1,1,1
225,Feb 2020,205,1,1,1,1,1,1,1,1
226,Feb 2020,244,1,1,1,1,1,1,1,1
227,Feb 2020,61,1,1,1,1,1,1,1,1
228,Feb 2020,237,1,1,1,1,1,1,1,1
229,Feb 2020,148,1,1,1,1,1,1,1,1
230,Feb 2020,69,1,1,1,1,1,1,1,1
231,Feb 2020,27,1,1,1,1,1,1,1,1
232,Feb 2020,201,1,1,1,1,1,1,1,1
233,Feb 2020,30,1,1,1,1,1,1,1,1
234,Feb 2020,158,1,1,1,1,1,1,1,1
235,Feb 2020,147,1,1,1,1,1,1,1,1
236,Feb 2020,210,1,1,1,1,1,1,1,1
237,Feb 2020,28,1,1,1,1,1,1,1,1
238,Feb 2020,186,1,1,1,1,1,1,1,1
239,Feb 2020,247,1,1,1,1,1,1,1,1
240,Feb 2020,95,1,1,1,1,1,1,1,1
241,Feb 2020,137,1,1,1,1,1,1,1,1
242,Feb 2020,62,1,1,1,1,1,1,1,1
243,Feb 2020,231,1,1,1,1,1,1,1,1
244,Feb 2020,253,1,1,1,1,1,1,1,1
245,Feb 2020,67,1,1,1,1,1,1,1,1
246,Feb 2020,78,1,1,1,1,1,1,1,1
247,Feb 2020,32,1,1,1,1,1,1,1,1
248,Feb 2020,36,1,1,1,1,1,1,1,1
249,Feb 2020,64,1,1,1,1,1,1,1,1
250,Feb 2020,251,1,1,1,1,1,1,1,1
251,Feb 2020,255,1,1,1,1,1,1,1,1
252,Feb 2020,240,1,1,1,1,1,1,1,1
253,Feb 2020,152,1,1,1,1,1,1,1,1
254,Feb 2020,140,1,1,1,1,1,1,1,1
255,Feb 2020,76,1,1,1,1,1,1,1,1
256,Feb 2020,162,1,1,1,1,1,1,1,1
257,Feb 2020,238,1,1,1,1,1,1,1,1
1,Apr 2020,213,7157499,4043751660934,44167966820957,48211718481891,254,145597,47732,37227,40124215160023,1
2,Apr 2020,160,3754053,2170801625517,12536639631608,14707441257125,91,65964,59131,5386,10365838006091,1
3,Apr 2020,256,412822,154818803636,2935906795572,3090725599208,10,18489,34346,1930,2781087991936,1
4,Apr 2020,49,300623,105887886475,1088576781607,1194464668082,16,4491,30067,213,982688895132,1
5,Apr 2020,143,105912,44348462138,1065879315533,1110227777671,19,5805,23471,133,1021530853395,1
6,Apr 2020,2,1231,4571395919,836644551503,841215947422,12,89,1195,16,832073155584,1
7,Apr 2020,46,33699,16970886952,758823949653,775794836605,11,2464,25935,435,741853062701,1
8,Apr 2020,169,41800,199845761804,471612123706,671457885510,12,2186,19436,108,271766361902,1
9,Apr 2020,206,977,13178462288,610893947981,624072410269,9,242,875,17,597715485693,1
10,Apr 2020,161,80228,42077400290,561921410690,603998810980,155,7430,21373,1176,519844010400,1
11,Apr 2020,79,1967,4063483362,593370961173,597434444535,6,120,1870,85,589307477811,1
12,Apr 2020,229,115057,26451362156,524571876673,551023238829,132,7159,21667,1537,498120514517,1
13,Apr 2020,127,87994,44073655137,495585428029,539659083166,160,7312,23199,837,451511772892,1
14,Apr 2020,228,74285,42186269751,433510025992,475696295743,123,6435,23241,441,391323756241,1
15,Apr 2020,128,63185,47777698445,425360963995,473138662440,112,6510,21322,318,377583265550,1
16,Apr 2020,131,74077,36740355948,420856692835,457597048783,139,6371,19654,429,384116336887,1
