SourceSubnet,Conns,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
150,559205,16457626740,32517155742,48974782482,256,18234,35009,38174
45,112191,2145821501,45799272712,47945094213,256,11633,29213,6694
236,357303,9392728905,35019739625,44412468530,256,19557,39180,3119
212,31608,39318826751,2664416751,41983243502,256,7542,18536,983
83,609106,3997593525,29167867917,33165461442,256,21201,36641,923
241,473123,5478709955,27268950442,32747660397,256,17089,35003,395
196,259487,1337718766,31355699556,32693418322,256,17888,36515,13650
222,57862191,8414337331,24224712004,32639049335,256,98698,64874,2728
80,227159,1465365411,29739957782,31205323193,256,14598,32157,1144
208,320089,24281090257,4890689645,29171779902,256,9317,34629,1106
54,264274,1235431766,27840116681,29075548447,256,11886,35487,443
52,1890213,2856760469,25711089157,28567849626,256,19998,46513,48213
110,97735,448630359,27672332265,28120962624,256,10987,31498,972
141,297001,6146727554,19333551725,25480279279,256,17577,31482,14254
224,258173,3671848703,20886211214,24558059917,256,16000,40736,920
153,269038,5068473396,17344923816,22413397212,256,14107,30198,901
159,435929,4850113002,16812868085,21662981087,256,16372,31047,1369
35,2262713,4504407439,16909952483,21414359922,256,9586,44151,2145
146,433637,2396944797,18757025696,21153970493,256,17427,32010,1826
9,268456,1448414729,18217695034,19666109763,256,15071,29058,5288
100,1705021,4032491080,15048779367,19081270447,256,17154,33838,2151
167,593279,3951883305,13509335653,17461218958,256,18428,37681,1127
84,396443,1974986376,15378290399,17353276775,256,14377,30155,806
63,294066,1655368813,13810412870,15465781683,256,16683,36306,14667
55,158714,1934054483,12698526587,14632581070,256,11382,37714,433
175,65232,747670921,12941707067,13689377988,256,9531,30776,1238
59,104706,10580894208,3083462572,13664356780,256,8590,29173,17851
173,136239,1028018452,12572276851,13600295303,256,11842,29979,884
166,348710,2711478565,10495223612,13206702177,256,17384,30817,1053
77,117245,950492071,12092526854,13043018925,256,11810,33828,591
191,266794,1553603095,11422057857,12975660952,256,10334,28812,455
145,143661,401166626,12269596425,12670763051,256,12993,29362,14749
106,54824,1488360594,11124618821,12612979415,256,8567,24593,695
120,217603,1978688583,10475445651,12454134234,256,13627,31977,710
144,263195,1931012319,10481228012,12412240331,256,16116,30117,15580
115,309877,2153371166,9915005164,12068376330,256,12739,29496,651
155,1071057,5576454382,6247245122,11823699504,256,26058,49262,59966
239,147981,1330898190,10007938942,11338837132,256,12074,29991,919
58,135914,1199640439,9857570279,11057210718,256,11447,31985,420
200,3559030,2294335454,8217456037,10511791491,256,6859,38261,442
209,137318,232564521,9739943658,9972508179,256,10785,35708,3572
6,279923,1243401525,7894976194,9138377719,256,13422,31181,5341
190,9062389,2055692952,6414082298,8469775250,256,25763,45679,7610
14,175818,612872079,7202634764,7815506843,256,11927,34103,4943
138,83989,245622874,6914621332,7160244206,256,10430,28047,736
57,783459,3452927282,2994104416,6447031698,256,43933,38751,4997
164,224133,743246018,4083524921,4826770939,256,14665,44087,1781
