SourceSubnet,Conns,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
212,233585,1728970,38151652,39880622,256,2659,62752,846
245,236901,2311240,37519606,39830846,256,4069,62891,2170
217,221523,1957067,37701219,39658286,256,2283,62752,1572
249,234870,2143338,37237319,39380657,256,4072,62825,2206
189,236304,2400627,36958786,39359413,256,3989,62832,2096
114,227705,1443389,37860015,39303404,256,3530,62800,1732
187,233998,1935621,37318157,39253778,256,2989,62788,1652
135,227553,1449133,37718908,39168041,256,3531,62713,1787
116,228657,1482717,37665436,39148153,256,3554,62743,1653
66,228418,1602363,37435898,39038261,256,3633,62695,2493
173,228165,1526696,37481787,39008483,256,3670,62771,1739
233,227362,1527266,37469679,38996945,256,3506,62683,1675
113,227816,1475502,37451151,38926653,256,3487,62753,1605
40,228083,1450381,37429949,38880330,256,3525,62764,1601
68,227337,1412866,37360906,38773772,256,3540,62725,1702
42,227793,1367762,37393851,38761613,256,3768,62817,1667
182,219921,880186,37547995,38428181,256,1910,62842,85
62,218579,326241,38064618,38390859,256,1985,62769,841
227,228201,1569374,36733605,38302979,256,3741,62811,1859
243,227145,1502197,36799341,38301538,256,3514,62757,1649
87,219189,487132,37754065,38241197,256,2143,62703,1602
8,218289,347305,37818840,38166145,256,1906,62653,912
67,217642,395210,37750806,38146016,256,2042,62628,1073
27,219677,331997,37759003,38091000,256,2018,62787,930
71,219012,340876,37725566,38066442,256,1982,62725,876
17,218488,363844,37600677,37964521,256,1925,62682,887
78,217709,333833,37624372,37958205,256,1904,62690,933
18,218392,353706,37468080,37821786,256,2046,62742,910
24,218371,357768,37401976,37759744,256,1995,62669,931
76,217052,354236,37370958,37725194,256,1922,62754,899
69,217714,380509,37314434,37694943,256,1959,62658,951
20,216752,394805,37286731,37681536,256,1976,62602,928
25,218057,318814,37309362,37628176,256,1872,62701,820
95,217671,390078,37226384,37616462,256,1930,62845,991
31,217300,341546,37272310,37613856,256,1917,62665,868
32,218254,354402,37258494,37612896,256,1904,62717,962
15,218452,365764,37235354,37601118,256,1989,62735,939
64,216699,348733,37221906,37570639,256,1940,62687,961
158,218802,327554,37231917,37559471,256,2086,62766,855
185,218246,424614,37133359,37557973,256,1936,62790,1056
188,219420,848114,36704169,37552283,256,1994,62712,86
186,217902,370887,37164671,37535558,256,1931,62712,954
41,217516,352036,37136739,37488775,256,1883,62683,893
231,218056,347961,37069145,37417106,256,1925,62734,1022
163,218342,389443,37006419,37395862,256,1956,62646,971
147,217647,357470,37035089,37392559,256,1939,62752,922
30,217581,333503,37039489,37372992,256,1857,62804,912
152,217351,385590,36982933,37368523,256,1967,62694,970
36,218375,323719,37040206,37363925,256,2088,62623,908
61,217186,373147,36981483,37354630,256,1904,62702,951
205,218198,341726,36997864,37339590,256,1943,62722,949
201,217352,390493,36947875,37338368,256,1955,62706,948
253,217698,335785,36942882,37278667,256,1937,62696,881
244,217546,345091,36920190,37265281,256,1982,62676,885
136,217605,369485,36874568,37244053,256,1920,62784,875
240,216652,360652,36844620,37205272,256,1968,62729,894
252,217503,361780,36789300,37151080,256,1971,62632,991
148,216951,399705,36735818,37135523,256,1935,62735,948
194,217073,372258,36731183,37103441,256,1992,62684,1098
219,217225,317582,36776181,37093763,256,1903,62750,795
237,216859,343927,36660758,37004685,256,1986,62664,909
162,216816,352192,36649243,37001435,256,1973,62640,956
254,214044,334159,36654176,36988335,256,1877,62473,816
247,217410,349117,36635737,36984854,256,1965,62674,892
211,217602,357266,36627033,36984299,256,1990,62747,903
137,216645,336923,36619288,36956211,256,1912,62712,856
218,218021,367419,36582683,36950102,256,2013,62709,919
251,217724,330160,36555387,36885547,256,2038,62601,882
238,216821,347056,36470039,36817095,256,1927,62724,877
255,212722,350796,36049302,36400098,256,1847,62558,919
