day,direction,protocol,state,connections
2023-01-04,internal,udp,SHR,131702
2023-01-04,outbound,tcp,RSTOS0,55893838
2023-01-04,inbound,tcp,RSTR,710075
2023-01-04,outbound,tcp,RSTRH,19092127
2023-01-04,outbound,udp,SHR,98504232
2023-01-04,inbound,tcp,RSTOS0,28905149
2023-01-04,internal,tcp,OTH,452432
2023-01-04,outbound,tcp,OTH,64055240
2023-01-04,outbound,udp,S0,2071723117
2023-01-04,inbound,tcp,SHR,18826553
2023-01-04,outbound,icmp,OTH,137881585
2023-01-04,internal,tcp,RSTOS0,36028
2023-01-05,inbound,tcp,RSTRH,3785930
2023-01-05,outbound,tcp,S0,110460157
2023-01-05,outbound,tcp,S1,3847040
2023-01-05,outbound,tcp,S2,2474093
2023-01-05,outbound,tcp,S3,3217122
2023-01-05,internal,udp,OTH,22028
2023-01-05,inbound,tcp,REJ,13729
2023-01-05,outbound,udp,SF,738657
2023-01-05,outbound,udp,OTH,16310941
2023-01-05,outbound,tcp,SF,31029279
2023-01-05,outbound,tcp,SH,11535216
2023-01-05,inbound,udp,SHR,25273771
2023-01-05,outbound,tcp,RSTO,6092044
2023-01-05,outbound,tcp,RSTR,3114944
2023-01-05,internal,icmp,OTH,1874505
2023-01-05,inbound,tcp,OTH,21421447
2023-01-05,internal,udp,S0,3819345
2023-01-05,internal,tcp,S0,559192
2023-01-05,internal,tcp,S1,10529
2023-01-05,inbound,udp,S0,2595401998
2023-01-05,internal,tcp,S2,6512
2023-01-05,internal,tcp,S3,3307
2023-01-05,inbound,tcp,S0,831433377
2023-01-05,internal,tcp,SHR,43728
2023-01-05,inbound,tcp,S1,368100
2023-01-05,inbound,tcp,S2,526941
2023-01-05,inbound,tcp,S3,284712
2023-01-05,internal,udp,SF,2111
2023-01-05,outbound,tcp,SHR,40026540
2023-01-05,internal,tcp,RSTO,23144
2023-01-05,inbound,icmp,OTH,182588377
2023-01-05,internal,tcp,RSTR,15386
2023-01-05,inbound,udp,OTH,20372377
2023-01-05,internal,tcp,SF,176932
2023-01-05,inbound,udp,SF,222243
2023-01-05,internal,tcp,SH,156797
2023-01-05,internal,tcp,REJ,10
2023-01-05,inbound,tcp,SF,12732878
2023-01-05,inbound,tcp,SH,10372801
2023-01-05,outbound,tcp,REJ,12929
2023-01-05,inbound,tcp,RSTO,1881372
