Days 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
11560 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0
7778 0 44 95 66 56 79 63 70 82 71 94 87 72 71 68
41794 0 0 0 0 75 44 0 0 0 0 0 0 0 0 86
68 78 0 96 89 0 97 0 44 76 0 91 85 0 81 0
8080 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0
28015 0 0 71 0 0 76 0 0 46 0 0 46 0 0 44
1285 45 58 0 45 83 0 0 85 58 0 50 0 0 56 0
65090 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0
1035 0 0 45 0 84 0 0 0 80 0 64 70 0 92 0
2095 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0
49 58 0 60 99 0 0 46 0 83 72 0 0 0 45 0
1541 46 0 76 73 0 100 0 54 0 90 0 71 0 0 0
15091 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0
1023 0 96 75 0 46 0 96 0 84 0 0 0 57 60 0
2082 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0
135 0 63 0 64 0 94 0 80 0 50 0 55 46 0 0
6539 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0
35060 47 0 0 0 0 0 0 0 98 0 0 0 0 61 0
25091 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0
27020 0 0 47 0 0 0 0 0 0 0 53 0 0 0 60
2086 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0
1046 0 0 59 0 91 0 66 0 47 0 47 84 0 0 0
45060 48 0 0 0 0 0 0 0 100 0 0 0 0 62 0
27019 0 48 0 0 0 87 0 0 0 93 0 0 0 0 0
1070 0 62 0 0 0 48 0 81 0 76 0 65 63 0 63
1047 0 97 85 0 90 0 48 0 87 0 0 51 53 0 78
1034 0 90 0 51 0 0 0 48 0 0 86 0 88 0 49
21026 0 85 0 0 77 0 0 66 0 0 48 0 0 0 0
6595 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0
65060 49 0 0 0 0 0 0 0 0 0 0 0 0 82 0
427 0 0 0 0 60 0 0 0 49 0 0 0 0 0 0
8417 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0
55060 50 0 0 0 0 0 0 0 99 0 0 0 0 83 0
9090 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0
1659 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0
25060 51 0 0 0 0 0 0 0 0 0 0 0 0 59 0
15060 52 0 0 0 0 0 0 0 0 0 0 0 0 58 0
2152 0 52 0 98 0 0 0 0 0 0 0 0 0 0 0
5560 0 0 0 0 0 0 73 0 0 0 0 52 100 0 0
445 53 0 68 75 0 99 0 63 0 100 68 0 59 76 0
6090 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0
32771 0 0 57 0 93 0 0 53 0 0 0 96 0 0 0
3680 0 0 0 0 0 0 0 0 0 0 0 0 0 53 0
25090 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0
3030 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0
1059 0 93 0 67 63 0 92 0 57 54 0 94 55 0 74
15090 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0
7783 0 0 55 0 0 0 0 0 0 0 71 0 0 0 0
6582 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0
56655 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0
45090 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0
1053 0 0 69 0 0 0 0 0 69 0 56 0 58 100 0
15061 57 0 0 0 0 0 0 0 0 69 0 0 0 0 0
35090 0 57 0 0 0 0 0 0 0 0 0 0 0 0 0
5067 0 0 0 0 0 57 0 0 0 85 98 0 0 0 0
6581 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0
44818 0 0 0 0 58 0 0 0 0 0 0 97 0 0 0
7787 0 0 0 0 0 0 58 0 0 0 0 0 0 0 82
631 59 0 91 91 0 0 0 77 0 99 69 0 96 99 0
55090 0 59 0 0 0 0 0 0 0 0 0 0 0 0 0
5069 0 0 0 0 0 59 0 0 0 83 0 0 0 0 0
5052 0 0 0 0 0 0 0 59 0 0 0 0 0 0 0
5050 0 0 0 0 0 0 0 0 59 0 0 0 0 0 0
1040 0 82 0 0 0 0 0 0 0 0 0 59 0 0 0
5071 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0
4040 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0
11670 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0
512 83 0 94 0 0 0 62 0 77 0 61 80 0 75 0
8888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61
33434 0 0 0 0 0 0 0 94 0 62 0 0 0 0 0
3560 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0
5079 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0
7070 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0
5078 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0
5077 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0
3952 0 0 0 0 0 0 0 0 0 0 0 0 0 65 0
5075 0 0 0 0 0 66 0 0 0 0 0 0 0 0 0
5099 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0
50060 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5076 0 0 0 0 0 67 0 0 0 0 93 0 0 0 0
45061 87 0 0 0 0 0 0 0 0 67 0 0 0 0 0
6061 0 0 0 0 0 0 0 0 0 0 0 67 0 0 0
5057 0 0 0 0 0 0 0 0 0 0 0 0 67 0 0
4208 0 0 0 0 0 0 0 0 0 0 0 0 0 67 0
2123 68 0 70 0 0 0 0 0 0 0 0 0 0 0 0
5012 0 0 0 68 0 0 0 0 0 0 0 0 0 0 0
5074 0 0 0 0 0 68 0 0 0 0 0 0 0 0 0
35061 88 0 0 0 0 0 0 0 0 68 0 0 0 0 0
15062 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5072 0 0 0 0 0 69 72 0 0 0 0 0 0 0 0
35062 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7782 0 70 0 0 0 0 0 0 0 98 0 0 0 0 0
9040 0 0 0 70 0 0 0 0 0 0 0 0 0 0 0
7 0 0 0 0 70 0 0 0 0 0 0 0 0 0 0
5073 0 80 0 0 0 70 0 0 0 0 0 0 0 0 0
5665 0 0 0 0 0 0 0 0 0 0 0 0 0 70 0
9060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70
25062 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4546 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0
4450 0 0 0 0 71 0 0 0 0 0 0 0 0 0 0
7785 0 0 0 0 0 0 0 0 0 0 0 0 71 0 0
65061 72 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6950 0 0 72 0 0 0 0 0 0 0 0 0 0 0 0
6534 0 0 0 0 0 0 0 0 72 0 0 0 0 0 0
5084 0 0 0 0 0 0 0 0 0 0 72 0 0 0 0
32769 0 0 0 0 89 0 0 0 0 0 0 0 0 0 72
6512 0 0 0 0 73 0 0 0 0 0 0 0 0 0 0
1010 0 0 0 0 0 0 0 0 73 0 0 0 0 0 0
55061 89 0 0 0 0 0 0 0 0 73 0 0 0 0 0
5082 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0
12111 0 0 93 0 0 0 0 0 0 0 0 74 0 0 0
6579 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5092 0 0 0 0 0 0 75 0 0 0 0 0 0 0 0
27021 0 0 0 80 0 0 0 88 0 0 0 75 0 0 0
5161 0 0 0 0 0 0 0 0 0 0 0 0 0 98 75
5097 0 0 0 0 0 0 0 0 0 0 0 76 0 0 0
6000 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5860 0 0 0 0 0 0 77 0 0 0 0 0 0 0 0
5091 0 0 0 0 0 0 0 0 0 0 77 0 0 0 0
5098 0 0 0 0 0 0 0 0 0 0 0 77 0 0 0
32768 0 0 78 0 92 0 0 78 0 0 0 92 0 0 0
5960 0 0 0 0 0 0 78 0 0 0 0 0 0 0 0
5096 0 0 0 0 0 0 0 0 0 0 0 78 0 0 0
7784 0 0 0 79 0 0 0 0 0 0 0 90 0 0 0
6501 0 0 0 0 79 0 0 0 0 0 0 0 0 0 100
5760 0 0 0 0 0 0 79 0 0 0 0 0 0 0 0
5056 0 0 0 0 0 0 0 0 0 0 0 0 79 0 0
2222 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0
6850 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0
5460 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0
6584 0 0 0 81 0 0 0 0 0 0 0 0 0 0 0
5095 0 0 0 0 0 0 0 0 0 0 0 81 0 0 0
9015 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0
5660 0 0 0 0 0 0 82 0 0 0 0 0 0 0 0
5055 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0
5083 0 83 0 0 0 0 0 0 0 0 0 0 0 0 0
50608 0 0 0 0 0 0 83 0 0 0 0 0 0 0 0
799 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0
37 84 0 98 0 0 0 0 97 0 0 0 0 0 0 0
4961 0 0 0 0 0 84 0 0 0 0 0 0 0 0 0
7788 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0
6481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84
50609 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0
7781 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0
50607 0 0 0 0 0 0 86 0 0 0 0 0 0 0 0
50360 0 0 0 0 0 0 0 0 0 0 0 86 98 0 0
6080 0 0 0 0 87 0 0 0 0 0 0 0 0 0 0
50606 0 0 0 0 0 0 87 0 0 0 0 0 0 0 0
50604 0 0 0 0 0 0 88 0 0 0 0 0 0 0 0
49590 0 0 0 0 0 0 0 0 0 0 88 0 0 0 0
6540 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0
5260 0 0 0 0 0 93 89 0 0 0 0 0 0 0 0
49152 0 0 0 0 0 0 0 0 0 0 89 0 0 0 0
9950 0 0 0 0 0 90 0 0 0 0 0 0 0 0 0
50605 0 0 0 0 0 0 90 0 0 0 0 0 0 0 0
5058 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0
5840 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90
8087 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9510 0 91 0 0 0 0 0 0 0 0 0 0 0 0 0
5360 0 0 0 0 0 0 91 0 0 0 0 0 0 0 0
3719 0 0 0 0 0 92 0 0 0 0 0 0 0 0 0
6583 0 0 0 0 0 0 0 0 0 0 0 0 0 0 92
6543 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0
6562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93
15063 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1812 0 0 0 0 94 0 0 0 0 0 0 0 0 0 0
6509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94
65062 95 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5190 0 95 0 0 0 0 0 0 0 0 0 0 0 0 0
1290 0 0 0 95 0 0 0 0 0 0 0 0 0 0 0
6587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95
55062 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7580 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0
24985 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0
5054 0 0 0 0 0 0 0 0 0 96 0 0 0 0 0
6541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 96
45062 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8060 0 0 0 97 0 0 0 0 0 0 0 0 0 0 0
49194 0 0 0 0 97 0 0 0 0 0 0 0 0 0 0
6557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 97
65024 0 0 0 0 98 0 0 0 0 0 0 0 0 0 0
30667 0 0 0 0 0 0 0 98 0 0 0 0 0 0 0
9917 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0
1645 0 0 0 0 99 0 0 0 0 0 0 0 0 0 0
6551 0 0 0 0 0 0 0 0 0 0 0 0 99 0 0
4790 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0
51413 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0
49150 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0
