Days 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
1521 0 0 0 0 0 75 0 0 87 0 0 0 0 0 0
1720 0 0 0 0 0 0 75 0 0 0 0 0 0 0 0
5601 0 0 0 0 0 0 0 0 0 0 76 0 0 0 0
3376 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6001 0 77 0 0 0 0 0 0 0 0 0 0 0 100 0
37777 0 0 0 0 78 0 0 100 90 96 0 77 0 0 0
7002 0 100 96 0 0 0 0 0 0 0 0 0 0 94 77
1982 0 0 0 0 0 78 0 0 0 0 0 0 0 0 0
9990 0 79 0 0 0 0 0 0 0 0 0 0 0 0 0
5905 0 0 0 0 0 0 79 0 0 0 0 0 0 0 0
4848 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 95 0 0 79 88 0 0 0 0
3379 0 0 0 80 0 0 80 0 0 0 0 0 0 0 79
3489 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0
3366 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0
33333 94 0 0 0 81 0 0 0 80 0 0 0 0 82 84
2000 0 0 0 0 0 0 83 0 0 0 80 89 0 0 0
7389 0 0 0 81 0 0 0 0 0 0 0 0 0 0 0
5005 0 0 0 0 0 0 0 0 0 0 0 0 81 0 0
8010 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81
8095 0 0 0 0 0 0 0 0 82 0 0 0 0 0 0
4040 0 0 83 0 0 0 0 0 0 0 0 0 0 0 0
8097 0 0 0 0 0 0 0 0 83 0 0 0 0 0 0
135 0 0 0 0 0 0 0 0 0 83 96 0 0 0 0
4899 0 0 0 0 0 0 0 89 0 0 0 0 0 0 83
4786 100 0 0 0 0 89 0 91 84 0 0 87 0 88 0
33889 0 0 0 0 0 0 0 87 0 0 84 0 0 0 0
4321 0 0 0 0 0 0 0 0 0 0 0 0 84 91 0
13390 0 0 0 0 0 0 0 0 0 0 0 0 0 84 0
3351 85 0 0 0 0 0 0 0 0 0 0 0 0 0 0
502 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0
8096 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0
4443 0 0 0 0 0 0 0 0 0 0 85 0 0 0 0
10021 0 0 0 0 0 0 0 0 0 0 0 0 85 0 0
8082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85
22222 86 0 0 88 0 0 0 0 0 0 0 0 0 0 0
4500 0 0 86 0 0 0 0 0 0 0 0 0 0 0 0
5389 0 0 88 86 0 0 0 0 0 0 0 0 0 0 0
8118 0 0 0 0 86 0 0 0 0 0 0 0 0 0 0
50802 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0
3790 0 87 0 0 0 0 0 0 0 0 0 0 0 0 0
35492 0 0 0 0 0 87 0 0 0 0 0 0 0 0 0
85 0 0 0 0 0 88 0 0 0 100 0 0 0 0 0
4004 0 0 0 0 0 0 0 0 0 0 0 0 88 0 0
34567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88
3355 0 0 0 0 89 0 0 0 0 0 0 0 0 0 0
10025 0 0 0 0 0 0 0 0 0 0 0 0 89 0 0
6007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89
3408 0 0 0 90 0 0 0 0 0 0 0 0 0 0 0
50070 0 0 0 0 0 0 90 0 0 0 0 0 0 0 0
8800 0 0 0 0 0 0 0 90 0 0 0 0 0 0 0
3372 91 0 95 0 0 0 0 0 0 0 0 0 0 0 0
1234 95 0 0 0 0 91 0 0 0 0 0 0 0 0 0
9002 0 0 0 0 0 0 0 0 0 91 0 0 0 0 0
9833 0 0 0 0 0 0 0 0 0 0 0 0 91 0 0
1900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91
3409 0 0 0 92 0 0 0 0 0 0 0 0 0 0 0
1634 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0
4400 0 0 0 0 0 0 0 0 0 0 0 92 0 0 0
119 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0
4490 0 0 93 0 0 0 0 0 0 0 0 0 0 0 0
83 0 0 0 0 0 93 0 0 0 0 0 0 0 0 0
123 0 0 0 0 0 0 93 0 0 0 0 0 99 0 0
3402 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0
2083 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0
8086 0 94 0 0 0 0 0 0 0 0 0 0 0 0 0
1110 0 0 0 0 0 94 0 0 0 0 0 0 0 0 0
5906 0 0 0 0 0 0 0 0 94 0 0 0 0 0 0
7547 0 0 0 100 0 100 0 0 0 0 0 94 0 0 0
8883 0 0 0 95 0 0 0 0 0 0 0 0 0 0 0
2121 0 0 0 0 0 0 0 0 95 0 0 0 0 0 0
44818 0 0 0 0 0 0 0 0 0 95 0 0 0 0 0
13399 0 0 0 0 0 0 0 0 0 0 0 0 0 95 0
9876 0 0 0 96 0 0 0 0 0 0 0 0 0 0 0
5502 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0
3373 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0
8500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 96
3500 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9998 0 0 97 0 0 0 0 0 0 0 0 0 0 0 0
444 0 0 0 0 97 0 0 0 0 0 0 0 0 0 0
51224 0 0 0 0 0 97 0 0 0 0 0 0 0 0 0
9009 0 0 0 0 0 0 97 0 0 0 0 0 0 0 0
888 0 0 0 0 0 0 0 0 0 0 0 0 0 98 97
3003 0 0 0 98 0 0 0 0 0 0 0 0 0 0 0
3375 0 0 0 0 0 0 98 0 0 0 0 0 0 0 0
33391 0 0 0 0 0 0 0 0 0 0 0 98 0 0 0
10010 0 0 0 0 0 0 0 0 0 0 0 0 98 0 0
54321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98
9033 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4489 0 0 99 0 0 0 0 0 0 0 0 0 0 0 0
3406 0 0 0 99 0 0 0 0 0 0 0 0 0 0 0
1177 0 0 0 0 99 0 0 0 0 0 0 0 0 0 0
1604 0 0 0 0 0 99 0 0 0 0 0 0 0 0 0
3353 0 0 0 0 0 0 0 0 99 0 0 0 0 0 0
4001 0 0 0 0 0 0 0 0 0 99 0 0 0 0 0
3368 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0
50075 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0
10030 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0
